obs YER PCR GCR ITR XTR MTR YED PCD GCD ITD XTD MTD YFD YIN WIN GON TIN YFN HICP HEX HEG HICPSYA HEXSYA HEGSYA HEGWEI CAN_YEN NFN_YEN LFN LNN UNN URX LEN STN LTN COMPR POILU PCOMU YWD YWDX YWR YWRX LPROD ULC WRN SAX EEN EXR
1989Q3 1277503.23124429 728234.63205535 249706.089089842 290148.83332177 285722.907705685 279030.817846492 0.790871013 0.78859365 0.78820475 0.836455632 0.922537776 0.960235721 0.713229804 1010340.27419985 518179.395038407 392973.984332311 99186.894829133 911153.379370718 79.886615702 79.861324934 78.828463639 NA NA NA NA 0.003305621 0.007606333 141902.010154274 130420.680481335 11481.329672939 0.080910268 107796.535947246 10.102045947 9.604781 33.974879212 17.5367 91.61635193 0.841096934 1.052281783 90.282091415 27819.459170041 9.795250466 0.405618853 3.973138256 0.17400889 1.524120118 0.92723412
1989Q4 1290815.43752828 735784.162816611 249747.918437655 296973.245640636 290561.904415317 287634.388491237 0.801659619 0.797280174 0.799421691 0.846760005 0.922355059 0.954066542 0.723826625 1034794.61189417 529861.58272878 404464.998498399 100468.030666995 934326.581227179 80.61479301 80.569762386 81.178392736 NA NA NA NA 0.00491547 0.011120666 142694.002293562 131297.414193339 11396.588100224 0.079867324 108585.833504005 11.071902127 10.08669 35.368436052 19.3633 87.311325113 0.851341501 1.033394115 90.944668501 28130.52533999 9.831232743 0.410485936 4.035582772 0.176844361 1.462881747 0.886625207
1990Q1 1308315.27996394 741799.35093753 253672.846025796 305774.326636277 300059.898784154 296086.23776857 0.813064242 0.804888928 0.812517475 0.858757985 0.918613541 0.948527596 0.734459959 1063744.37192029 545545.513066037 415359.674138636 102839.184715614 960905.187204673 81.625012227 81.610925694 82.522882152 NA NA 43.84 NA -0.003966215 0.000928647 143378.130092576 132119.950143503 11258.179949073 0.078520901 109432.158725473 11.225662452 10.80854 35.467529695 19.85 84.710371412 0.859373604 1.005292589 91.699364366 28464.530118511 9.902480878 0.416983216 4.129168324 0.184987957 1.403880188 0.829506332
1990Q2 1314289.66912535 746559.638489776 255627.049546925 304029.314577608 300129.981231418 299809.270645659 0.824667551 0.814143334 0.828056248 0.870727218 0.921449111 0.937494685 0.744564629 1083852.04268942 559037.018723183 419536.580767247 105278.443198988 978573.59949043 82.32614097 82.45512631 81.928250842 NA NA 43.526666667 NA 0.003208638 0.007374422 143879.000359057 132698.715957658 11180.284401399 0.077706158 110072.859446343 10.618018136 10.79219 31.592295622 15.96 87.983985553 0.873734334 1.007912141 92.491355903 28641.838940561 9.904313389 0.425352973 4.21282915 0.184421916 1.39031344 0.817833807
1990Q3 1326479.05502548 749054.633007805 256971.79470564 305079.459969256 310990.702854075 304647.663264676 0.83230076 0.82420867 0.842053519 0.878373913 0.921138337 0.940842969 0.750650675 1104029.52605483 569059.07769469 426663.320866378 108307.127493758 995722.398561068 83.08590453 82.854915201 85.597232335 NA NA 45.496666667 NA 0.004676586 0.004821649 144357.311651861 133224.965639616 11132.346012245 0.077116607 110566.416101774 10.536336844 10.88659 43.152794253 26.4967 89.688058668 0.887148067 1.007820609 92.411140351 28669.965682757 9.956685285 0.428999671 4.271414708 0.187594173 1.390065744 0.771308954
1990Q4 1333985.15269645 755658.539663176 258531.754733793 307378.390440731 321692.007145031 314353.898592515 0.842105056 0.836222829 0.854118493 0.886763275 0.93151142 0.957357155 0.757573551 1123355.64113481 582255.146482658 428336.722085149 112763.772567002 1010591.86856781 84.158198004 83.636975334 89.87672269 NA NA 47.75 NA 0.001032228 0.002179839 144989.340206994 133826.820798842 11162.519408153 0.076988552 111255.189917966 11.046291096 10.97771 47.900197174 32.5367 85.562407969 0.892891294 1.009876433 92.117236038 28724.154454271 9.967995539 0.436477981 4.35081057 0.183624635 1.368575052 0.731768528
1991Q1 1343203.79428951 763959.755858957 260010.095547388 307383.232624278 318282.973840859 316651.022119585 0.853508568 0.843509737 0.859792318 0.894749759 0.931512539 0.950072101 0.769349113 1146435.94663766 591077.821988758 442314.826252544 113043.298396354 1033392.6482413 85.019992165 84.710685133 88.741820055 NA NA 47.156666667 NA -0.001788906 0.002011325 145563.6880535 134371.59004572 11192.09800778 0.07688798 111852.758766488 11.096522687 10.55287 35.980144199 20.75 82.15426174 0.907075872 1.018743272 92.049564864 28965.776690608 9.996188881 0.440050739 4.398830302 0.185815539 1.376548993 0.74555407
1991Q2 1347193.62331156 770513.099366173 263975.842730294 308066.378415429 316433.88911538 318103.508482465 0.865700649 0.855070407 0.879113964 0.908823745 0.933781203 0.951362467 0.77967578 1166266.39466123 606120.728633996 444253.510191753 115892.155835483 1050374.23882575 85.857354021 85.744483357 87.690772873 NA NA 46.586666667 NA -0.003159858 0.002972293 145535.4633634 134254.92760076 11280.535762641 0.077510563 111683.925558086 10.461557802 10.05186 33.300561771 18.79 78.566739393 0.917482912 1.054590919 91.993485215 29027.015206567 10.034593496 0.449913597 4.514700052 0.18473552 1.451504413 0.842030595
1991Q3 1346821.43611816 767966.66746001 267686.827942937 307574.080331875 323208.193875505 323111.61996274 0.876759215 0.869052789 0.879936656 0.919887067 0.937519727 0.960565034 0.787942604 1180838.10444825 613057.047933436 448160.941286247 119620.115228568 1061217.98921968 86.955721494 86.581157222 91.22070148 NA NA 48.466666667 NA -0.002947492 0.003281699 145244.588985976 133764.731272395 11479.857713581 0.079038109 111222.708874894 10.505995789 10.14279 34.190055023 19.8767 77.131730455 0.926436612 1.063105953 92.112407735 29047.152663644 10.068584023 0.455188068 4.583099313 0.179179153 1.453896505 0.849770515
1991Q4 1359629.72385458 778800.112016244 270783.246151402 311710.968205807 328844.952222806 322406.05639256 0.889839426 0.881128922 0.892009011 0.924676739 0.939273017 0.953514109 0.798183927 1209852.13372615 622992.175320238 462242.416673861 124617.541732053 1085234.5919941 87.655373971 87.34852939 91.656391438 NA NA 48.696666667 NA 0.000740217 -0.000463622 145253.490608537 133579.569777182 11673.920831355 0.080369296 111106.986759086 10.732214711 9.894176 34.709558023 20.51 76.414225985 0.934965974 1.053933721 92.359974392 29173.367403327 10.178425684 0.458207234 4.663828281 0.170932284 1.415835158 0.797139024
1992Q1 1380154.06161075 783517.597647377 272415.221180041 317316.081442836 333591.560830007 332154.291403986 0.8964501 0.889061656 0.901114109 0.928753729 0.937010921 0.947248214 0.805956884 1237239.24657535 635393.886592851 476950.780167262 124894.579815241 1112344.66676011 88.587865886 88.458591282 90.223099513 NA NA 47.936666667 NA -0.003787059 -0.002127215 145268.578010933 133451.13405796 11817.443952973 0.081348934 110889.662780698 10.849247498 9.579858 32.43634953 18.2067 77.131730455 0.941096248 1.051710294 92.855370127 29531.467399334 10.342018233 0.460378956 4.761247561 0.176306646 1.409114853 0.79200749
1992Q2 1369618.99687716 784408.130972816 272668.035820603 312655.976085881 331518.74544594 330989.021313802 0.904815484 0.897639156 0.911699843 0.932745286 0.939795624 0.946677194 0.814230103 1239252.47606855 641639.816919967 473545.199862435 124067.459286149 1115185.0167824 89.48961578 89.419316692 90.936592924 NA NA 48.313333333 NA -0.001738519 -0.000302257 145388.763712273 133245.636907204 12143.126805069 0.083521769 110758.062128602 10.979088304 9.67607 34.595626922 20.1233 77.983767012 0.948071588 1.053131508 92.963182826 29419.227694907 10.27890315 0.468480518 4.815465871 0.17352857 1.40595695 0.786274587
1992Q3 1365783.67018936 782985.208000435 275041.154283912 306639.834209294 331416.192718015 328831.248759958 0.912465757 0.904353185 0.919846288 0.938524419 0.938918029 0.943047549 0.820965823 1246230.83070754 652254.140235066 469007.575221499 124969.115250976 1121261.71545656 89.92055319 89.9252158 90.708599 NA NA 48.193333333 NA -0.006024492 -0.006882387 145219.378943082 132605.598906413 12613.780036669 0.086860171 110152.106112439 11.92840899 10.0521 34.668513986 20.14 78.297675217 0.949922627 1.033288998 93.373430383 29400.02116337 10.299592788 0.477567681 4.918752644 0.177117518 1.352316241 0.721535417
1992Q4 1363052.66873273 789440.532242778 276576.623752266 304043.386726223 330791.677861955 328063.918782016 0.920639704 0.913752132 0.929796144 0.943676772 0.941722965 0.952617677 0.826671171 1254880.40481644 651848.115083958 474948.230161114 128084.059571369 1126796.34524507 90.521341734 90.520822452 91.193541786 NA NA 48.45 NA -0.001957318 -0.001156151 145038.135137302 131963.420310302 13074.714827 0.090146738 109665.795823513 11.451664051 10.01286 33.04852043 19.1867 74.710152871 0.95332432 1.050117852 93.716503941 29433.319707729 10.329018947 0.478226653 4.939612156 0.171941091 1.364851538 0.78856373
